,9-gr-_Cell0-0,9-gr-_Cell0-1,9-gr-_Cell0-2,9-gr-_Cell0-3,9-gr-_Cell1-0,9-gr-_Cell1-1,9-gr-_Cell1-2,9-gr-_Cell1-3,9-gr-_Cell2-0,9-gr-_Cell2-1,9-gr-_Cell2-2,9-gr-_Cell2-3,9-gr-_Cell3-0,9-gr-_Cell3-1,9-gr-_Cell3-2,9-gr-_Cell3-3
X,173.0,164.0,172.0,174.0,234.0,223.0,236.0,234.0,416.0,396.0,407.0,406.0,36.0,15.0,30.0,34.0
Y,116.0,114.0,110.0,106.0,301.0,305.0,306.0,308.0,177.0,173.0,173.0,166.0,248.0,232.0,240.0,237.0
Size,309.0,239.0,357.5,380.5,262.5,243.0,256.0,316.5,281.5,202.0,248.0,277.5,268.5,324.0,353.0,295.5
Mean_Gr,1.0614035087719298,2.5127272727272727,2.6218274111675126,2.9148936170212765,1.064625850340136,2.3357933579335795,2.873684210526316,2.848137535816619,0.7904761904761904,1.7532467532467533,2.4855072463768115,2.7041800643086815,0.8327759197324415,0.2966101694915254,1.0361757105943152,1.617737003058104
Mean_Rd,4.56140350877193,0.8909090909090909,0.7690355329949239,0.8557919621749409,6.183673469387755,1.8007380073800738,0.7157894736842105,0.9742120343839542,4.828571428571428,3.134199134199134,0.025362318840579712,0.18006430868167203,5.1003344481605355,8.124293785310735,10.289405684754522,8.021406727828746
Sum_Gr,363.0,691.0,1033.0,1233.0,313.0,633.0,819.0,994.0,249.0,405.0,686.0,841.0,249.0,105.0,401.0,529.0
Sum_Rd,1560.0,245.0,303.0,362.0,1818.0,488.0,204.0,340.0,1521.0,724.0,7.0,56.0,1525.0,2876.0,3982.0,2623.0
TP,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0
IMAGE_Path,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-,9-gr-
