,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.048451291035874,0.0483986236611628,0.1048623533604869,0.0,0.0798842329982408,0.0405789423467789,0.0410296177357964,0.1152132593647324,0.0697649097741661,0.1419494044448267,0.0434647216042765,0.0405582116154669,0.0749553111044644,0.0467582062459957,0.0351663713651863,0.0405558973202525,0.0479285516799656,0.0988371914906184,0.0482816256679982,0.046248072526486,0.046801872074883,0.0669773021515084,0.049661328762891,0.0587750298050577,0.0409970637841806,0.0493180566773599,0.0578044655346999,0.0468988993837997,0.0563575684462585,0.0466441561037369,0.0949265943418287,0.0951200997878425,0.0646235643728022,0.0428435388874143,0.1060088799789529,0.0838717985979433,0.1137366392718553,0.0345633338050816,0.0509248761885229,0.0568830172776707,0.077858751854319,0.1218887262079063,0.0592463904140874,0.0799167500040568,0.0622913802574164,0.0415842474866352,0.0510640493159619,0.0417064928030633,0.1174715772697666,0.0882712623621845,0.0940173677362006,0.0828944448592218,0.1148775345377962,0.0777463852576752,0.1106127218670372,0.0364248653366292,0.0952523845415855,0.0401310049299523
SMAD2,0.0635126450935111,0.0793600805923568,0.0397944570319288,0.0644164096405186,0.0583969062460283,0.0691954124843877,0.0759035049031943,0.0698708805157704,0.0989555052674109,0.0573150375472781,0.080125066196886,0.0697464144266609,0.0794886868482643,0.0668746923693573,0.0428459241448081,0.0695967559997949,0.0558138457266726,0.0553738086984074,0.0625293009538766,0.0678528987296568,0.0624024960998439,0.0686261895282461,0.0679709585780446,0.0924820279804998,0.0650492546884181,0.0717079635556874,0.0625304716921073,0.0681905329282611,0.0627944446015326,0.0682016815441318,0.0533406025970049,0.0398924688819827,0.0660604964435051,0.0716615111750095,0.0850836844038159,0.0437296496307789,0.0737593303361991,0.0463950138845233,0.0730403291317758,0.1259372147575432,0.0701756826229695,0.0651537335285505,0.075478579419106,0.0545588742255256,0.0,0.0764075315917485,0.0745032090106405,0.0926426218289408,0.1055046365354365,0.0841196566752703,0.0717633257160744,0.064268409052262,0.0645675994525897,0.0599171765163323,0.0688051235370275,0.0549875598369472,0.0516125248070208,0.0604985339958199
TFDP1,0.0475576137249836,0.0826506938682686,0.0455850660945872,0.0875357387220532,0.0684435820213519,0.0750531376055757,0.0463153891057289,0.0606273768522835,0.0593879029980864,0.0784004736029956,0.0489714356678636,0.0752319075014832,0.0660110060449046,0.0762127443848652,0.0637368391516109,0.0751779220678776,0.0663499875523237,0.0527444180559696,0.0649231770860302,0.0577055867471472,0.0655226209048361,0.0559561033944461,0.068165777532598,0.0645233178630621,0.0,0.0609919008461669,0.0840734166453022,0.0580001162601404,0.0787624738585617,0.0579606288155636,0.056261768102962,0.0638953283306894,0.0677373694071519,0.0562142540533324,0.0433746468325332,0.0701339215386726,0.0624772957390598,0.0588095237157183,0.0602928938996054,0.0468087706901225,0.0728922480948787,0.0538067349926793,0.0698157753496615,0.0698996558239903,0.0724762800218884,0.0561715775513778,0.0589338949804688,0.0492456969366254,0.0462757130841634,0.0649460397572013,0.058887447697149,0.0694593277002378,0.0566561815260837,0.0692829947695712,0.0510959878278765,0.0678075426169107,0.0731002136535838,0.0743009601287856
TFDP2,0.0050458186141544,0.0404265384897338,0.0311908836851747,0.071259985249767,0.0661121876782173,0.0103095958983196,0.0112972208821105,0.0279123300964238,0.1020684208313808,0.0305334752679846,0.0119632164646178,0.0104053040429954,0.0457058021463077,0.038668797226086,0.0092048536957404,0.0103645017382244,0.0091533816457352,0.0208171401904617,0.015868308536744,0.0316323314757947,0.0171606864274571,0.0685704683914769,0.0323921550614598,0.0554914733825726,0.0448714604100056,0.0255001699467165,0.0697025155628855,0.0242493314857204,0.0091025074288027,0.0247607441334822,0.0295146608166786,0.0694504731199132,0.0611140103014127,0.0076864479990394,0.0343806538841162,0.0562904207154803,0.038347727907539,0.0098179560793983,0.0283982671863845,0.0732268372754106,0.0592698228941615,0.0263543191800878,0.0392366188029673,0.0,0.0393133860298304,0.0138908133058112,0.0223146044268271,0.0281155772489956,0.0247166268074727,0.0552302243704467,0.0381411135988456,0.0670868979669998,0.0331969081719196,0.0463412862649908,0.0239836770672449,0.0062453206835104,0.0191242144125141,0.0071940528757672
EP300,0.0748653544033094,0.0426258325037268,0.0338729252098586,0.0165258426108953,0.0211862657026741,0.0495413880414429,0.0710772022193659,0.0311711586440435,0.0161682986450829,0.021573668625015,0.0750769915268092,0.0489506139142755,0.0235396826485641,0.0365102958806786,0.0518039217337029,0.0491261756801737,0.0622769220188479,0.04002392987735,0.060744694531261,0.0578781290928001,0.0608424336973478,0.0379554559948545,0.0500277512116381,0.0274472224638314,0.0543015564304144,0.0590150071614521,0.020203830337243,0.0561201934842199,0.0660103371332644,0.056495003160508,0.045007145865261,0.0234488446533687,0.0323597396350442,0.0623464832865768,0.0250749467102753,0.0298244741689824,0.0145819189752978,0.0735087518120514,0.0583386057775437,0.02221295104964,0.0280670206027052,0.0212298682284041,0.0601765679352236,0.0248632039068137,0.0537438408389825,0.0602114501322175,0.057059171320322,0.0847356931738066,0.0240347921592845,0.0192249616998589,0.0258892692607208,0.0274237939670214,0.0290775061734212,0.0407589359289201,0.0363105409758782,0.0885668856464191,0.0222864788268187,0.0
CCNA2,0.0553635333618678,0.0725719059529831,0.028176640553192,0.0238673050596243,0.0147270651563427,0.0812918162614213,0.0541011188738444,0.0516002508289254,0.0160893221123326,0.0374481609249063,0.0,0.080522328365184,0.0164345505367662,0.0619443109698014,0.0370223940754682,0.0807552639196177,0.0649126828310099,0.0505836514800493,0.0589904420496428,0.0706053876752916,0.0608424336973478,0.04366269317683,0.0558604032188663,0.0375332084505471,0.060031773878561,0.0735790563353274,0.0270886453742021,0.0699698445622164,0.0684403277249676,0.0702902914082007,0.0342145951948479,0.0270842298828027,0.0322846680546875,0.0543502070647032,0.0273181838248592,0.0227008779058765,0.0176270929974613,0.0554202661421384,0.0549705021587959,0.0131371093832041,0.0261372424441212,0.0281844802342606,0.0556457603567106,0.0215506223107168,0.0491428296893033,0.0544604906678444,0.054821307432721,0.0792658950885847,0.0133463750571695,0.0142278642350205,0.0178869733074493,0.0156396791463858,0.0189602064568727,0.0265416170637815,0.0188916451558743,0.063919264727824,0.0178213543310187,0.0699107096011397
CCNH,0.0513426248552187,0.0707399746185167,0.035592541397026,0.0219996713784438,0.0067013915841948,0.0756740296704046,0.0488892997580669,0.0375016422581775,0.0050405636824703,0.025643741997455,0.0517406251049537,0.0746928083882723,0.0076908870996769,0.0606611083688089,0.0359519656456954,0.0749842404426865,0.0498969869095391,0.0284659007656542,0.0471405335268252,0.0503411241566929,0.046801872074883,0.0314648935626319,0.0368369229087827,0.0223553625220718,0.040488498296313,0.0,0.0130939109524403,0.0490521617545967,0.0492640750486767,0.0493620680376502,0.0362081179754552,0.0181982390104587,0.0332770617666989,0.0710305297555414,0.0317417883432904,0.0322229995541932,0.0193540882359242,0.0750270808953611,0.0514770725195226,0.0185594984374381,0.026838625686935,0.0289165446559297,0.0507213859920802,0.0232083731849933,0.0441282219744826,0.0713565812295014,0.0528464930809767,0.087372647344229,0.0231996521778676,0.016658026403008,0.0235476112813273,0.0222986413116895,0.0243166688824865,0.0337304550730755,0.0289077372448033,0.0763459834722159,0.0206941976658441,0.0832177412986731
CDK1,0.078448753690445,0.0,0.0642266255009142,0.1023563906255814,0.0804428435850428,0.0900095964031073,0.0685017929689058,0.0614800761486976,0.0689306691178014,0.0645217233841941,0.0724660380257784,0.0893299533052539,0.0877537952730569,0.0901852039216432,0.0918997128906428,0.0895239631880441,0.070007540147907,0.0522354107807712,0.0699804068585296,0.0582493093178404,0.0702028081123244,0.0628590800724434,0.069132444273848,0.0617840388510798,0.0744420839525113,0.0608926214123878,0.0846647941808376,0.0579057066972059,0.0765412535239349,0.0578291760517863,0.0595133757004672,0.0824500675976524,0.0549971176679351,0.0624030381800895,0.0430568396598588,0.0651065336723071,0.056325083455195,0.0637453308627526,0.0604595415822867,0.0466281943962915,0.0566334651354859,0.0530746705710102,0.0662487182126719,0.0586658143467685,0.0670234667704748,0.0585739064276801,0.0627599092314622,0.0535148157954786,0.0550631510237112,0.0779944608299926,0.0645239073403247,0.0649046077706909,0.0624253306805942,0.0627461674854544,0.0577481219934613,0.0593154375054344,0.0781407450986015,0.0651436386993257
HDAC1,0.0767591270305865,0.0612778398827423,0.0644609806915573,0.0666114922454269,0.0808214773455426,0.0520275936778486,0.0755237252006979,0.0462302855837278,0.0791734105848675,0.059426741560578,0.0798581193333619,0.0519930302149943,0.0838094726198286,0.0581277355090853,0.0884549593856064,0.05199901894229,0.0692958855084966,0.0647930819064057,0.0655598551770426,0.0625655951418427,0.06396255850234,0.0622731233652589,0.0587606523752263,0.0687456157650189,0.0616801576031401,0.0686982129307901,0.0,0.0653284170778572,0.0708642669096104,0.0650760924126936,0.0560846720023072,0.0767822484498682,0.0664627399995019,0.0614307610791093,0.043927197334127,0.0735629471616001,0.0675376227152105,0.0626375341082491,0.0600666114235613,0.0379752234730771,0.0697298522949447,0.0442898975109809,0.0683754203344782,0.0749327901555542,0.0693755322986133,0.0613627682740854,0.0593758209287578,0.0468427708593058,0.0476683067806649,0.0583441663828218,0.0565869022629237,0.072760880898568,0.0541667042980091,0.079857928603375,0.054345944843126,0.0779415104336994,0.0631598086288961,0.084905691286404
HDAC2,0.0363577422016841,0.0345385155030664,0.1350950622270798,0.0609965522297323,0.0521041963741911,0.0292393547972102,0.0488672020293243,0.102565298616245,0.0,0.1256612230096508,0.0517065166956862,0.0299501308656736,0.0816836757246608,0.0304641343974574,0.0317886395482595,0.0297461743894258,0.0248866416900626,0.0823174864022905,0.0318440081738717,0.0429414909533829,0.031201248049922,0.0643213591231803,0.0353237256179408,0.0619355631022658,0.0475840495556004,0.0457999245921635,0.0550571847785697,0.0435533392827204,0.0245933259268376,0.0434094695106926,0.0930130169337486,0.0385565958052649,0.0816606393217666,0.0393192517692963,0.1252550387200937,0.0303911328358976,0.1292055974742218,0.0359386032167025,0.0456960815894047,0.1300909915821124,0.0760562678326056,0.1277452415812591,0.0515914677109938,0.0511977184212934,0.0489569603511119,0.0401631191915383,0.0452812488344317,0.0378545079003334,0.1176374663488794,0.0778921187081184,0.1084981927211881,0.0621618999242326,0.1067568998175011,0.0625847961362643,0.1167681308613099,0.041900466758417,0.0786225590573672,0.0468544619865859
