,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0450024732994153,0.0599549980311636,0.059880239520958,0.0,0.0579326307587262,0.0576945741465376,0.0491323228617822,0.0555070295447846,0.0731153459475359,0.0586672951871832,0.0759304283273366,0.0413549950183056,0.0654253800940259,0.0400219596110401,0.1199875468585126,0.0557799172087029,0.0572456975392366,0.0441815838452227,0.0581170031231403,0.0655118386819907,0.0573129457979468,0.0637942895795069,0.0573267658667059,0.0642090997580191,0.0693454345486834,0.0540453476475639,0.0578551613002621,0.065725741544409,0.0606535768183943,0.0651672648958073,0.0498239565429266,0.1104589672942548,0.0679843808516919,0.0629813141410226,0.0695863424893094,0.0585876215029485,0.070832846589585,0.0713402871988017,0.0470307462977321,0.0659897204589502,0.0656909051585736,0.065158792382964,0.0728170061543375,0.0642847051603551,0.0723721223779277,0.0701331596022081,0.0575354218074635,0.0668639514455441,0.0521739130434782,0.0631741068255865,0.0537565296243261,0.0618075358750314,0.0543611091002367,0.0445936616261596,0.0537400255749912,0.1104065180806846,0.0572153480370794,0.0627689644051271
SMAD2,0.1094155633240628,0.0781806445485475,0.0703592814371257,0.0767700880519368,0.0141464385424379,0.0703052125964548,0.031456704096389,0.068324799913948,0.0645552807116338,0.0718719979502088,0.0500848370434104,0.0535179682106284,0.0697232303902583,0.0951473327974,0.0463000106784192,0.0713477706624898,0.0587680231724328,0.031096798677487,0.0576452937589994,0.0629190859623198,0.0586965073855393,0.0594049122814512,0.0586814375016714,0.0331040231911019,0.0145342210344771,0.0432562324805368,0.0611580577861147,0.062468151473743,0.0625601352918582,0.0636518258157466,0.0155620637425797,0.0372902572239738,0.0653846715294226,0.0751061476707717,0.0550929492002136,0.0282790152815999,0.0506028511425453,0.0244452792805617,0.0317442307587277,0.0542965640322883,0.070669062868758,0.0691156183860467,0.0717194497468256,0.0767429777939506,0.0,0.0553504908318316,0.0409629882842438,0.0738373724269316,0.0710144927536232,0.0554764833243862,0.0708027941346852,0.0536788779153789,0.0704287570064785,0.0169891104491896,0.070811456996654,0.0263983542128539,0.0544306514899981,0.01735764855562
TFDP1,0.0403321586730281,0.0755438900437518,0.0449101796407185,0.0723708120215677,0.0829654204816958,0.0679609808734576,0.0707235635802541,0.0720502868004031,0.0523661527473507,0.0762436581101545,0.0505647414686905,0.0911592801282718,0.0471201622008307,0.0544091062381314,0.0363753330229617,0.0667620201931478,0.0585150338695944,0.0803987222098938,0.0585208916926257,0.0551279985076668,0.0585021874122785,0.0533799434888871,0.0584998748716107,0.0846260434495006,0.0,0.0798685174748747,0.0628023206813507,0.0552595496743937,0.0621842045755913,0.0548697348958754,0.0922373166863533,0.0376103516408824,0.0628230914692379,0.0483958886912652,0.0685715175784774,0.0887910769073955,0.0696731352627975,0.0871103611969403,0.0816267821771957,0.0580649989283593,0.0575568373560327,0.0502324824114712,0.0680030060861402,0.0543661079616492,0.0684792301423826,0.054365913687974,0.0617379731086435,0.0493642514052005,0.072463768115942,0.0654951770175227,0.0715468858915,0.0640035497340898,0.0713606894607205,0.0953101694140811,0.0715528349226066,0.0650299362234867,0.069468362687038,0.1081773039972457
TFDP2,0.0369331609308345,0.0539528388386413,0.0389221556886227,0.0524790075911871,0.0861111598320986,0.0500779958313647,0.0729574653451034,0.0517851117761255,0.0513965730683318,0.0548407863784066,0.0446667036924187,0.0711965493747545,0.0427831540454941,0.0367128386822159,0.0372705339867761,0.0477935461146458,0.0707748581013888,0.082977911782349,0.0725591246013262,0.0623639280353161,0.0709110831044241,0.0627956065314027,0.0709391150692062,0.0775049755454483,0.097106013279749,0.0824050804052101,0.0710828991131279,0.062080445039656,0.0748743187146066,0.0633745030892528,0.1201377426995809,0.0525817837690354,0.0646867785035435,0.0542946393832221,0.0690480036959852,0.0702448322874947,0.0784501970354722,0.0666655295485572,0.0894376635497578,0.0566558317077746,0.063151399422929,0.0566423731018786,0.0702410573913192,0.0,0.0774821109827409,0.0607407480636522,0.0710231333512751,0.0558552029548158,0.053623188405797,0.0572041215842216,0.0542148910043608,0.0596923741936368,0.0544820013446524,0.0891630161487118,0.0542078161607053,0.0550215350914606,0.0580329046415801,0.0975391200598608
EP300,0.0441006418233282,0.0357149781531977,0.0389221556886227,0.0224735360175451,0.0927439125139648,0.0235957307348183,0.1031172483606457,0.0281642382490343,0.0277238673459482,0.0383555131986441,0.0411714162199772,0.0892583946094873,0.0422844671828766,0.0322480342175883,0.11601933503692,0.0598397372297926,0.0386305538102748,0.075830366941427,0.0399181282576,0.0326418055356838,0.0387228566909778,0.0555656727807293,0.0387419998917153,0.0880866252998754,0.1338403164738553,0.0770532660117792,0.0661429932634063,0.0329658859160265,0.0408336398964309,0.0324208282001414,0.0352194969006373,0.1169605503820188,0.0317109500280002,0.0373120665557724,0.0405614756022229,0.079914949368665,0.0691408452304076,0.0677913348411013,0.0727250720756875,0.0379842445190273,0.0314917582715446,0.0394344897012442,0.0365665738084531,0.0394751483278958,0.0331916111762502,0.0478184949590663,0.1323114523551672,0.0324002874419167,0.0420289855072463,0.0496434747078307,0.0450471025903397,0.0492038941824788,0.0462971003858958,0.0876843515688123,0.0450134919689548,0.1108940652222499,0.1031165114557392,0.0
CCNA2,0.0762374939148243,0.0764098464029718,0.0508982035928143,0.0772958958184556,0.015225744931047,0.0717840955103098,0.0312750311474478,0.0646509074415934,0.0528861388435386,0.067899383971955,0.0,0.0413364125095574,0.0539419027716974,0.0936511051442018,0.0183208281497218,0.0699825796357908,0.0526381211824386,0.0315690001442587,0.0508421502932701,0.068549848979408,0.0525041277311618,0.0696360129910398,0.0524764771633401,0.0328590901061404,0.0172601818725433,0.0469606819166081,0.0561891397226169,0.0679954704575089,0.05619219395615,0.0695231721911508,0.0177152536304789,0.0416365458990586,0.0515277320477916,0.0542877234653063,0.0445208572089366,0.0161917188567399,0.032037566258099,0.0158754639337917,0.0168170572456478,0.0348878303447119,0.0531791453628951,0.0510032281165235,0.0564268902346448,0.054749611837263,0.0326935489826321,0.0412382087398687,0.0253794598901296,0.0517759270033859,0.0579710144927536,0.0528754367785083,0.0552726587191523,0.0581512097771524,0.0542301167628695,0.0315726792384654,0.0553010564814495,0.0180047704475244,0.0403681206500714,0.01949296134228
CCNH,0.0327617105826896,0.079540662651183,0.0449101796407185,0.0777962661391533,0.08954259001115,0.0738165589873258,0.0825200044871907,0.074405978448737,0.0606922453037846,0.0786732891596797,0.0638051489806556,0.0842241735378348,0.0515607536079726,0.0538032002172471,0.029389529321001,0.0716665710461056,0.048132123293757,0.0832766984619942,0.0491813694972577,0.0491637960626383,0.0482135435651839,0.0477121449359199,0.0482302653027272,0.080232967176185,0.0670138467575234,0.0,0.0462847139999918,0.049484788278333,0.0509433360772413,0.0488280504696934,0.0819483633522404,0.0449747102033461,0.0480007289999099,0.0667890482580106,0.0526697198347209,0.0877006678777191,0.0607182970412302,0.0782163585332683,0.0859727446310255,0.0782128917763493,0.047714141777807,0.0687527411866977,0.0520004025083611,0.0727664775556988,0.0643102026644002,0.0709555422386013,0.0628302586170714,0.0677915695467642,0.0608695652173913,0.0665921699805025,0.0613852538072613,0.0669577882267128,0.0616775716225229,0.0811517669119205,0.0613777772275753,0.0436984632642393,0.0603084736203263,0.0821274017386705
CDK1,0.083305985131541,0.0,0.0658682634730539,0.0914042335069896,0.0224492594319599,0.0861798374755238,0.0421861839092466,0.0759211615975775,0.0701367242202066,0.0775408840758307,0.0451535361430704,0.0443385931014817,0.0696002857910229,0.1220063059172533,0.0261491007849458,0.0813805148514881,0.0672152359773338,0.0255529910106556,0.0655534854857145,0.056837992512345,0.0670979479302182,0.0563780390839693,0.0670735741699589,0.025952312658499,0.0244032902654363,0.0385489275113434,0.0694154073299523,0.0563639334095407,0.0716336056552053,0.0576806500415178,0.0270865889797633,0.0318603831733365,0.0538767586720472,0.0543064683059914,0.0447821046360258,0.0173990416395704,0.0347104631808829,0.0170714374782832,0.023475614977324,0.0364422792783508,0.0587568316274629,0.0510544555819491,0.059130861085004,0.0548498954312988,0.0385606002638355,0.0414833063071912,0.0341724535748352,0.0518134144115029,0.0434782608695651,0.045064961015728,0.0434987455079493,0.0483722368416482,0.0433065597437835,0.0179330303867774,0.0435029359231689,0.0122388961338486,0.0384893313385447,0.0145654625948879
HDAC1,0.0540994176838847,0.0515412206481315,0.0688622754491018,0.054056787013851,0.052698682897841,0.0523740065005427,0.0492218978361918,0.0485095819138736,0.0782695419882554,0.0513254378968313,0.0841687962155302,0.0413505988143803,0.0737975143108384,0.0417031199772143,0.099715279013829,0.0462649717214014,0.0604128839917629,0.0393404536101148,0.0611327592068191,0.0618392098919451,0.0604724853587837,0.0604201845564232,0.0604846344168877,0.0582116775590089,0.0592937068439896,0.0467898786317915,0.0,0.0621566078993642,0.0640311036340646,0.060958890625897,0.0402954457989309,0.0977761342532687,0.0631733843922957,0.0555155105301828,0.0656149750717957,0.0463601304205199,0.0755401526174228,0.0559916209845838,0.0434114001774208,0.0662983230238214,0.0623249226805561,0.0538463524476453,0.0688398163946782,0.0597136497420342,0.0750669910954842,0.0572920993994945,0.0522227198153988,0.0542313522350495,0.0695652173913043,0.0718212147975079,0.0690778110985473,0.0679575497331385,0.0688515619729727,0.0460823281336576,0.0690837758748551,0.1077691687134139,0.0637994506942844,0.0570472741791236
HDAC2,0.0586951527758905,0.0553054573904037,0.0793413173652695,0.0519075781938304,0.1055112486467205,0.0483573283121273,0.0951348288938538,0.0534935445141437,0.0,0.0566326216719153,0.0918866183425949,0.0677091654586153,0.0848153021642873,0.0346909231038563,0.0485321299990487,0.0460352095463384,0.0438852538924274,0.0654107515873975,0.0443149966247222,0.0474088077122707,0.0439127415599165,0.0461105713912594,0.0439185303935556,0.0618920220555281,0.0615622299388208,0.0664016751543626,0.0446259870550888,0.0474945119563493,0.0465537778912228,0.0473784081602672,0.0742885955327887,0.0423748050088032,0.0681552251899023,0.0657553314155564,0.0722768261195423,0.0981009238777795,0.0820028259332444,0.0849459705660482,0.0958249437947129,0.0722129107929887,0.0659018526876796,0.0625063828322204,0.073981805017288,0.075072558675072,0.0835037504247978,0.0636980911074769,0.0665874579562596,0.0622790110288337,0.0579710144927536,0.0779387425347221,0.0571342654123934,0.0816192820964537,0.0570985193960756,0.1052583259727813,0.0571367400695368,0.0452155437666955,0.0604642542039726,0.1012215392738914
MAD2L2,0.0338948371335353,0.0622674656289121,0.0479041916167664,0.0622956485190034,0.0402693796233463,0.0594715204407348,0.0317275457491696,0.0595310696108558,0.0548998917369671,0.0607885832385649,0.0585504279847547,0.0402842752882965,0.0522671740894659,0.0421395888053945,0.0867554802384464,0.0510352763835991,0.0570537480027236,0.040752725140887,0.0572125301000573,0.0616701459120049,0.0570511355716574,0.0596011620730174,0.0570509648437272,0.0610241501593316,0.0657372510408762,0.04435125443306,0.0594950311027488,0.0615718392473597,0.0606111580464066,0.0620562794112688,0.0355918662472628,0.1214195276080006,0.0820282560352819,0.0635731519249902,0.0867877150061287,0.058523551365644,0.0908161663972594,0.0766252413998001,0.0533373995211979,0.0838060203296407,0.0778594349749283,0.0682819715602026,0.0,0.0645356349171695,0.0914545167641417,0.0747422754370604,0.0607554522796854,0.0685815206856029,0.0594202898550724,0.0521245699917255,0.0591062555700454,0.0492172772155028,0.0590062707663588,0.0384532341563417,0.0591090904793209,0.0939437436621517,0.0581463243661872,0.0523706960844681
