,X,Y,IMAGE_Path,Cell,TimePoint
Cell13_0.0,452,21,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,0.0
Cell13_2.5,450,22,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,2.5
Cell13_5.0,451,16,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,5.0
Cell13_7.5,442,10,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,7.5
Cell14_0.0,114,251,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,0.0
Cell14_2.5,111,247,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,2.5
Cell14_5.0,109,242,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,5.0
Cell14_7.5,113,242,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,7.5
Cell15_0.0,23,168,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,0.0
Cell15_2.5,42,149,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,2.5
Cell15_5.0,39,157,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,5.0
Cell15_7.5,37,148,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,7.5
