,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.043431721630137,0.0686763744605706,0.0399967865411079,0.0,0.0447984970050658,0.0541994226468735,0.0730572873580196,0.0524308151226296,0.0788385170461212,0.0622000081642143,0.0632549979390814,0.0571008847916427,0.0558302586528688,0.0409955152475962,0.0669482089781845,0.0567607852653992,0.0498374238210342,0.0538689978972078,0.0483619344773791,0.0712729134061529,0.0512484636324242,0.0714909750350778,0.0502792590305366,0.0639326191874725,0.0504493084945645,0.0783161276386552,0.0482007133148407,0.0734523940086815,0.0434014326100646,0.0561525461975296,0.0497850228686314,0.0774978046409892,0.0604716138360258,0.072105529489164,0.0477882508216327,0.064311513987798,0.0457257575214238,0.0620567006873061,0.0558833829086521,0.0688993511057011,0.0527381495078603,0.0673502484533267,0.0509201424371106,0.062504026158786,0.0708410805816687,0.0675662415515275,0.0537786858305709,0.0704652345463183,0.0543533974637918,0.0813221094728974,0.0479326883562046,0.0471408142692176,0.0447181427751332,0.0682393238329682,0.0450865028234929,0.0696341090312755,0.0485429823648372,0.0308743538010752
SMAD2,0.0910501807392472,0.0736138248841706,0.0642018712502346,0.0437743517758742,0.1091474074000987,0.0500262748951684,0.0362457662510219,0.0513197837341561,0.0396856539116242,0.0433948117562702,0.078252615412396,0.040678157641966,0.0949668513259062,0.0730411863531263,0.0465512727477308,0.0413191606873293,0.0252218097903721,0.1122509792551764,0.0877535101404056,0.045289099754896,0.0578320049168602,0.0564552265218408,0.0582913114645534,0.0636764091815382,0.023921599199747,0.0382080108835004,0.0425453729464448,0.0265797175729028,0.0397448023789896,0.045760514960622,0.0560457741383138,0.0749080795548577,0.0452042160895803,0.0631783462218218,0.0926080283177082,0.0571647301876137,0.0939481700766824,0.0608102656653412,0.0975033590846893,0.0439010707637194,0.0496351702109438,0.0519098827395537,0.1110961650769742,0.1078274952658283,0.0,0.051868018643273,0.0471985491164743,0.0629207123156686,0.0484328654940232,0.0721079336228334,0.070543911457652,0.0724668278802658,0.0921070334603544,0.0406362159339342,0.0842622214663606,0.0682499177306149,0.0775727674760716,0.0874732088994045
TFDP1,0.0372019383023978,0.0782212976197504,0.0472312204011441,0.0885631227264236,0.0303643618263885,0.0850170901553881,0.0542835418203359,0.0671492582875426,0.0556684770236348,0.0902375647721712,0.0587046793936047,0.0833673891283967,0.053545154173059,0.049887627894767,0.0488220507712726,0.0834872384918977,0.066225754563915,0.0399547122150224,0.047191887675507,0.0543241760555807,0.0703495126986325,0.0538680755972367,0.0705288174334503,0.0507198732471475,0.0,0.0607517494565829,0.073198196081075,0.0687850398964749,0.065414519701978,0.042130711120603,0.069060537872093,0.0560924064037402,0.0625444841034987,0.0597176732669352,0.0304005075633439,0.0599155860941791,0.0347690022442157,0.0565912315741399,0.0401372063864929,0.0661903232789242,0.0597436684452554,0.0658579843146414,0.0350184291251078,0.0487405838897426,0.0691164703253771,0.0662311604609893,0.0579920927265411,0.0613505283983117,0.0677105969250867,0.0722152933506083,0.067939581428387,0.0430281272188627,0.0451794301912399,0.0565517309090915,0.0717300247963568,0.0586091536306181,0.0757153048040163,0.0332022987795251
TFDP2,0.1056079195718437,0.0452094362840959,0.1242573388322199,0.0342855647078575,0.078637727902447,0.0400313215833704,0.0471152804731398,0.0580535170879787,0.0449240511394144,0.0350023050361964,0.0537016855859273,0.0329591503026048,0.0451931126723404,0.1182100224859719,0.0460054040446458,0.0326383730934635,0.0770227210406578,0.084606851018723,0.095553822152886,0.0305415823867768,0.0679266647961481,0.0575139468823998,0.0690222787402105,0.1118438595268391,0.0465504529692013,0.0398338945778944,0.055754874256328,0.0425710103827911,0.0577598064780115,0.0382483258276244,0.0757510516317839,0.0434871118304766,0.0995946243986196,0.0354708419576279,0.0995577945086846,0.0662073629779439,0.125876549015733,0.0362858384969819,0.0887545298564185,0.0352356537478582,0.0983534304407226,0.0356323562405917,0.1353605797397586,0.0,0.0710610119251054,0.0367769203167734,0.1049042360647207,0.0584938074637039,0.0369732741790878,0.0178598610732479,0.0561607205346836,0.1251357146484483,0.1190920648345298,0.0879127500849737,0.0580496544934446,0.0674750424734643,0.033210520773004,0.1830431353648167
EP300,0.0482402900352967,0.0455094385823509,0.1304486070604102,0.052712397729187,0.0564238724176321,0.0451503485358726,0.046066467176308,0.0724685168085807,0.0754736588487244,0.0381342122822771,0.0651080183048979,0.0500159735282737,0.0841011344398777,0.031153959708405,0.0864367116843219,0.0499575055747331,0.0833996526539894,0.0716690151061145,0.0495319812792512,0.0793221824398926,0.0613105114895013,0.0784425907874955,0.0613399688442226,0.1439549688350905,0.0951156547743038,0.0609407183527325,0.0896659072917508,0.0490673256324551,0.1278337508882881,0.1466651151148275,0.0593058573747089,0.0846372291440404,0.1087629536231706,0.0366332838906583,0.0719012592716239,0.0700960147737229,0.0876997608166173,0.0650079728387389,0.0490965010778099,0.0575369650781263,0.0874932895243572,0.0653677783408186,0.0903124652101619,0.0406841892700872,0.0687470038286455,0.065466757655643,0.0874085675872888,0.0696917470773194,0.0683877570925298,0.0335794186019933,0.0672573134943144,0.0714291464158086,0.0542841848101868,0.1166452227440709,0.0676830437538799,0.0791531676509319,0.0383884470415289,0.0
CCNA2,0.0396895587564461,0.0872072620156811,0.0416316925125729,0.0912381427220648,0.0395083043726995,0.0844181861411589,0.0638130283633574,0.0797627712735588,0.0653094915671036,0.0946767300602742,0.0,0.0861810731638887,0.0527332992569645,0.0635576445927099,0.055295755854348,0.08597085220025,0.054948633788057,0.0436916465077379,0.0436817472698908,0.0635192128685008,0.0670486283166727,0.0672174123034019,0.0674438871345634,0.0650915846204573,0.0635729669204396,0.0748339991006456,0.0611958831368822,0.0680012359881633,0.0546537739195778,0.0526865685443778,0.062748693441841,0.0706963753073713,0.0531119236683315,0.0556408604571687,0.0381273712279438,0.0483826571470065,0.039495583184497,0.0595209632515402,0.041633489843064,0.0568716707313884,0.0563125857765571,0.055232757590135,0.0413404492676013,0.0477712906512093,0.0629062125332078,0.0548894455840697,0.0559638416882605,0.0442562001746888,0.0581492102852208,0.0597640303332825,0.0648349146453839,0.0407373568833611,0.047178694619791,0.067586672398638,0.0716602027743355,0.0608078032210159,0.0755508386935813,0.0308098352837811
CCNH,0.0383906909107428,0.0876688592622056,0.0360792938853933,0.0837542484128777,0.0443021837301305,0.0797502676580473,0.0661898956714752,0.0685215770584916,0.0653831245351019,0.0916810334676967,0.0505675160449085,0.0791239640506658,0.0448185437302187,0.0559687132104449,0.0549125709056863,0.0788645252597229,0.0563323313415547,0.0277447545862719,0.0335413416536661,0.0661971438059687,0.0396244158157524,0.0672269313389637,0.0391240498981709,0.0641632622289836,0.0524555274538398,0.0,0.0533375140451451,0.0657268303801116,0.0424294415423971,0.0536419299284913,0.0454001211403709,0.0711260974409266,0.0495650401872507,0.0724663059543933,0.0399542609630556,0.0670551222352306,0.0362157942006248,0.068695400999114,0.039304174766468,0.0686768872617123,0.0431389054030168,0.0673415376591885,0.0397016575036447,0.0565497875027028,0.0525352665247477,0.0669626153948633,0.0422239140829836,0.0625358731252658,0.0778229179944922,0.0719389723482188,0.0713257349606158,0.0456450187144962,0.0487046583224192,0.0596020778884723,0.0637550368090468,0.0609291707574815,0.0730584589274738,0.0381512310667002
CDK1,0.0792800388186927,0.0,0.0571969610650782,0.0476680890672492,0.1028522493657389,0.0446147558309318,0.0516342492962313,0.0834368983659951,0.0574883944648077,0.0480192725960781,0.0712671900005857,0.0452122265508146,0.0836011314340538,0.0862454166665408,0.062608824269165,0.0447780595496394,0.0404989355779399,0.1083460864902349,0.1068642745709827,0.0571169998216027,0.0698031441093418,0.0608993096893403,0.069456410392991,0.0564850316624884,0.0521496215856255,0.046537747594253,0.0624113477365099,0.0280982942398911,0.0608253201551106,0.0494767976338018,0.0662091347552859,0.0827590118430086,0.0530524466080501,0.0520691605817433,0.0782381254026394,0.0475150675868687,0.0729962233375325,0.0407474307465016,0.0834579867434244,0.0293894478881541,0.0535045929139946,0.0366315014033595,0.0860238191023854,0.0721982299803299,0.0608566951336275,0.0370994650785185,0.0525437357838743,0.0517432728310498,0.0439125158359731,0.0626530600462901,0.0697464900139741,0.0746973535171435,0.0675289875190961,0.0288183221681825,0.0693176429515713,0.0599217165061488,0.0644620255934526,0.0918001125205488
HDAC1,0.0221566899085307,0.0188929642879601,0.011210095294175,0.0592541485086819,0.0351181499894583,0.035581628639714,0.0369239488305985,0.017758319032527,0.0670480636872673,0.0411741227158992,0.0186222020824089,0.0556378391929329,0.0141369814795082,0.0305350515781221,0.0516370237295661,0.0559019678433261,0.0704165496453332,0.0161911405153642,0.0245709828393135,0.0544995787625093,0.0163364376801257,0.032838423657877,0.0175570333060773,0.0168953578567407,0.1034122745056889,0.038652277155226,0.0,0.0644494021948755,0.0952611773559645,0.104654957179851,0.0346251886977245,0.0338349179014191,0.0313354287526616,0.0176139775877476,0.0468522712203002,0.0336741550113865,0.0170248388909229,0.0583882202225371,0.016540450573966,0.0641322413883794,0.0173947943672889,0.0578282053743496,0.02156413261721,0.0190078079946106,0.0170984463967547,0.0558962967169739,0.0160617815932372,0.0144717273900476,0.0652348366281053,0.0125432599054066,0.0282231360850171,0.0216556999300172,0.0245803442406126,0.0440126098658126,0.0092411525960103,0.0247646967038334,0.0126527563350736,0.0198110587331652
HDAC2,0.05221247914957,0.0490370041811537,0.0618366684337962,0.0600838481895827,0.0485602689275693,0.0598445865805403,0.0877594450515521,0.043015312428308,0.0,0.0644879967022679,0.0857133196952666,0.0562995183019489,0.0792144093115729,0.0330888512214325,0.0757834791216608,0.0566097451426698,0.0428050535995869,0.0387949083203984,0.0347113884555382,0.0466310755005756,0.0477404502464183,0.0424701026718846,0.0471379076351847,0.0373443129057056,0.0450730397262019,0.0495127813685393,0.0430770207313451,0.0581088128361676,0.0405020897389675,0.0374557830109472,0.0445095436855615,0.0460041858711061,0.0632400796676312,0.0698714450374373,0.0470253975922948,0.073778635098962,0.0502201720379391,0.0761892980838386,0.0539474294827475,0.0804737150511226,0.0678955499845753,0.0779161009941147,0.0531456518969217,0.0527060869437692,0.0786009681224719,0.0773442200175205,0.0659132208478235,0.0710226641840951,0.0623684101597564,0.0741065624613672,0.0666078038981134,0.0537585365255526,0.0323060083257613,0.066332604648203,0.0647996712808977,0.0560341800404795,0.0728834451403625,0.0462604199826566
