,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.1016609681669043,0.0516459650178037,0.0886976047904191,0.0,0.0886976047904191,0.13283315543925,0.0670947761845448,0.0880394108199614,0.1314806533119202,0.1029172940658926,0.0886976047904191,0.13283315543925,0.0886976047904191,0.0476457991102631,0.0691755978435324,0.0762265976763421,0.0866376678154807,0.1081487606120886,0.0869734789391575,0.1043251475870695,0.0605592657943481,0.0832045694369176,0.0869734789391575,0.0694102050307881,0.0877755065316897,0.114150279019905,0.0707618667972071,0.092962962962963,0.0751229065307783,0.0760670966090178,0.0848683273844849,0.1175378327352143,0.0691902213931747,0.1170360355725936,0.0890601587802597,0.096992016638519,0.0962741406036973,0.0642222302061768,0.1021706586826346,0.08316486953917,0.0934912399338095,0.0669528206598635,0.0544483720513737,0.0956454121306376,0.073982983755579,0.0598311940111993,0.1117043231001023,0.0874773752483247,0.0789855072463767,0.1337194267529135,0.0914138668684866,0.1024962178517397,0.0789855072463767,0.0993845105695736,0.102472696157357,0.1024962178517397,0.0737025568302944,0.1023255362908759
SMAD2,0.0627798609824881,0.0944159925133505,0.093562874251497,0.1579464518129282,0.093562874251497,0.0724151806834219,0.084678465717446,0.1238847711831277,0.0879410199149664,0.0546575737811662,0.0935628742514969,0.0724151806834219,0.0935628742514969,0.1051964117971217,0.132808885527397,0.1168073755502896,0.1223172567226007,0.0890309040123141,0.0885335413416536,0.0983623745880261,0.0866214883301226,0.1125063168748558,0.0885335413416536,0.0753394752811877,0.0545384001776542,0.095512131855137,0.0340401733594606,0.1033333333333333,0.0860135638127591,0.1245413979087045,0.0843144369991845,0.1074854484615305,0.0514886892983298,0.0574596615380291,0.0493957675484699,0.1085806797398246,0.1261769272376765,0.0899653137887678,0.0984281437125748,0.1547516132536815,0.113791392377929,0.1346617283772989,0.0617237746532574,0.1115863141524104,0.0,0.1200682619969773,0.0908518595044572,0.1207176033011353,0.1039855072463767,0.0426372265831875,0.0913321711753906,0.0843419062027231,0.1039855072463767,0.0834999362753036,0.0895486449182095,0.0843419062027231,0.0917937764877282,0.0992245271616943
TFDP1,0.0532785437681514,0.1453753899828247,0.0759730538922155,0.0728961056157952,0.0759730538922155,0.0504392091406788,0.0836086520544157,0.1010690580523148,0.0482813901281581,0.0773265952980143,0.0759730538922155,0.0504392091406788,0.0759730538922155,0.1018289707229531,0.0567283082227288,0.0968381397159838,0.0758233912394038,0.1048142674377573,0.0826833073322932,0.0913641928108427,0.0884498311555246,0.0787204305179891,0.0826833073322932,0.1048222502550159,0.0,0.1163591022675205,0.0797786312892996,0.09,0.1021541330224289,0.064741726023332,0.0845274220649321,0.1082121558632623,0.0479906032263687,0.0490899243425119,0.0496442595323898,0.0772656895448691,0.0588443078278309,0.0876306538195454,0.0849550898203592,0.0569495746229989,0.0756802463953457,0.0730921941670427,0.0569927799230814,0.0789269051321928,0.1084805828573668,0.0696956128071608,0.0932514407222371,0.0735272888548143,0.1043478260869564,0.0679668379805226,0.0555908305558332,0.0892586989409984,0.1043478260869564,0.0865073060075982,0.1295581673693732,0.0892586989409984,0.0989128219730714,0.0901145046724283
TFDP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP300,0.020515653679142,0.022304278084633,0.0883233532934131,0.0325090577689145,0.0883233532934131,0.023129465342783,0.029735276988235,0.0520041020039348,0.0318646961619711,0.01630100155856,0.0883233532934131,0.023129465342783,0.0883233532934131,0.0119266966327753,0.037492426921813,0.0228174174002081,0.0203272311015682,0.0655656428365374,0.0842433697347894,0.0895494289673837,0.0249824647923605,0.0899718603012639,0.0842433697347894,0.0439648285773875,0.0517665655197092,0.0799557933894291,0.0202013447331969,0.0940740740740741,0.0237907443255994,0.1008185120704463,0.0776698456682367,0.1123835856156008,0.0358057160338619,0.0196373807713627,0.0288999390156865,0.0820466309935312,0.1037663750859374,0.0328126654080956,0.0939371257485029,0.0141083498185422,0.0820560597474739,0.0369649049454047,0.0038668502941923,0.0835925349922239,0.0373806986282827,0.0286390078139026,0.1081334190986625,0.0654434333690089,0.0913043478260869,0.039607703129041,0.025768562012267,0.1059001512859304,0.0913043478260869,0.0972051373557644,0.0751118106495098,0.1059001512859303,0.092022740581291,0.0
CCNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNH,0.0781486791518532,0.0840792722401294,0.0763473053892215,0.0866011861106116,0.0763473053892215,0.08422722775988,0.0559674908954761,0.1232901571076061,0.0371616847419657,0.1205833836148219,0.0763473053892215,0.08422722775988,0.0763473053892215,0.0876886414106349,0.0770535926575464,0.0507756681721527,0.0550441342048027,0.0686341892097596,0.0807332293291731,0.0806582099092048,0.0551301601039073,0.0992478042894218,0.0807332293291731,0.0642246921985749,0.0471623572245117,0.0,0.1131214197399705,0.087037037037037,0.0534049951113326,0.0928884319310963,0.0766517045319244,0.0890013605538909,0.1033207779808745,0.077301025630726,0.0841695179970554,0.0939452513009224,0.0957907685932865,0.0559567230900664,0.0744760479041916,0.0709245624735196,0.1029200567605936,0.0803984729318863,0.1210317458551039,0.0956454121306376,0.0694189163304141,0.0697123007124899,0.0679982797202972,0.0958918552201461,0.0905797101449275,0.0696660370629921,0.0915412501282537,0.0937972768532526,0.0905797101449275,0.089575432606478,0.0786850255683937,0.0937972768532526,0.0899873709488299,0.1158811261855666
CDK1,0.0979958524463323,0.0,0.0636227544910179,0.0927528289454931,0.0636227544910179,0.095250111934403,0.1100913415375292,0.0586794994047177,0.0760906760833059,0.120809905995049,0.063622754491018,0.095250111934403,0.063622754491018,0.1044284125002706,0.0746225165932234,0.1119317733461983,0.0690873950479161,0.0518896309226849,0.062402496099844,0.0444894134926055,0.1123162042676758,0.0364048180028432,0.062402496099844,0.109446619837501,0.132605620508897,0.0464680595054915,0.1377598458730601,0.041111111111111,0.1247079381484447,0.0453798169005403,0.0640160290265905,0.042333980090545,0.1055008394747722,0.052145931650361,0.0884221053922277,0.048342756396773,0.074845345912423,0.0943997753306366,0.0591317365269461,0.0418100804447351,0.0462679260685133,0.0596356759017214,0.1283427357135069,0.0501555209953344,0.1316992539179852,0.0813363922829827,0.0574720555626455,0.0546337376811161,0.0394927536231884,0.0670485570091122,0.0814379369517966,0.0306354009077155,0.0394927536231884,0.0312792371893096,0.0458395377610214,0.0306354009077156,0.0548480391917417,0.0445185999678579
HDAC1,0.08016180823357,0.0504579169722852,0.0273203592814371,0.0234177745569781,0.0273203592814371,0.0591051050222204,0.0293876114325209,0.0128266933477673,0.1187901061531015,0.0893414607868688,0.0273203592814371,0.0591051050222204,0.0273203592814371,0.043802313679197,0.0169511982915097,0.0160807332277011,0.033977235655738,0.0183191210921582,0.0245709828393135,0.0112771314889658,0.0318308138140926,0.021643588416255,0.0245709828393135,0.0253118617622885,0.0242670602270951,0.0299058453727745,0.0,0.02,0.0494814474202876,0.0163927756061516,0.0341256564685952,0.0123805972175971,0.0743901344787378,0.1138588606461742,0.1074109766961,0.0261698443874788,0.0245204432275304,0.0201734020066351,0.0276946107784431,0.0309293651030377,0.0235522342725153,0.0135311673273736,0.1395500275133362,0.0198289269051322,0.025938488278166,0.0185426520493233,0.0136747195823642,0.0204304866694375,0.0315217391304348,0.0862897156556016,0.0832916405458394,0.0359304084720121,0.0315217391304348,0.0511800098334291,0.0245269938089346,0.0359304084720121,0.0338683752034394,0.0402633172498787
HDAC2,0.0674796989864674,0.0742158919982802,0.1074101796407185,0.1315792140791501,0.1074101796407185,0.0644815587086716,0.1247688743634947,0.0949845895238158,0.0,0.0489155718917048,0.1074101796407184,0.0644815587086716,0.1074101796407184,0.0912430655864808,0.1774036646849221,0.0985872046403276,0.1177177251400587,0.0745160345306108,0.0854134165366614,0.0791727665456247,0.0872465261851799,0.1042858846449038,0.0854134165366614,0.0669800463956142,0.0646068730316295,0.0813254310916792,0.0260115372179851,0.0848148148148148,0.0830944623954389,0.0921600551743341,0.0802754249582934,0.0863275412768948,0.0662264235471128,0.0577564247249049,0.0663589613927441,0.0871434730133963,0.1146273495291097,0.0859979952687937,0.0999251497005987,0.1547067933935765,0.1286613192930913,0.118390572979126,0.0666150008307049,0.088258164852255,0.0814712458332085,0.1128800990725092,0.0887012290633294,0.0963617114547621,0.0862318840579709,0.0597940348872539,0.0796353696772139,0.1043872919818457,0.0862318840579709,0.0976680524442665,0.0698321585610733,0.1043872919818456,0.0797993192638166,0.1232323309894219
