,N-gr-_Cell10-0,N-gr-_Cell10-1,N-gr-_Cell10-2,N-gr-_Cell10-3,N-gr-_Cell11-0,N-gr-_Cell11-1,N-gr-_Cell11-2,N-gr-_Cell11-3,N-gr-_Cell12-0,N-gr-_Cell12-1,N-gr-_Cell12-2,N-gr-_Cell12-3,N-gr-_Cell13-0,N-gr-_Cell13-1,N-gr-_Cell13-2,N-gr-_Cell13-3,N-gr-_Cell14-0,N-gr-_Cell14-1,N-gr-_Cell14-2,N-gr-_Cell14-3,N-gr-_Cell15-0,N-gr-_Cell15-1,N-gr-_Cell15-2,N-gr-_Cell15-3,N-gr-_Cell16-0,N-gr-_Cell16-1,N-gr-_Cell16-2,N-gr-_Cell16-3,N-gr-_Cell17-0,N-gr-_Cell17-1,N-gr-_Cell17-2,N-gr-_Cell17-3,N-gr-_Cell18-0,N-gr-_Cell18-1,N-gr-_Cell18-2,N-gr-_Cell18-3,N-gr-_Cell19-0,N-gr-_Cell19-1,N-gr-_Cell19-2,N-gr-_Cell19-3,N-gr-_Cell20-0,N-gr-_Cell20-1,N-gr-_Cell20-2,N-gr-_Cell20-3,N-gr-_Cell21-0,N-gr-_Cell21-1,N-gr-_Cell21-2,N-gr-_Cell21-3,N-gr-_Cell22-0,N-gr-_Cell22-1,N-gr-_Cell22-2,N-gr-_Cell22-3,N-gr-_Cell23-0,N-gr-_Cell23-1,N-gr-_Cell23-2,N-gr-_Cell23-3,N-gr-_Cell24-0,N-gr-_Cell24-1,N-gr-_Cell24-2,N-gr-_Cell24-3,N-gr-_Cell25-0,N-gr-_Cell25-1,N-gr-_Cell25-2,N-gr-_Cell25-3,N-gr-_Cell26-0,N-gr-_Cell26-1,N-gr-_Cell26-2,N-gr-_Cell26-3
X,24.0,18.0,23.0,19.0,91.0,92.0,96.0,87.0,170.0,171.0,177.0,174.0,184.0,181.0,192.0,190.0,236.0,240.0,250.0,248.0,205.0,201.0,212.0,215.0,324.0,321.0,329.0,327.0,354.0,351.0,357.0,352.0,482.0,476.0,469.0,458.0,285.0,276.0,281.0,271.0,369.0,363.0,366.0,357.0,356.0,357.0,369.0,366.0,310.0,304.0,313.0,301.0,32.0,33.0,53.0,78.0,126.0,129.0,145.0,138.0,105.0,101.0,105.0,93.0,286.0,280.0,287.0,281.0
Y,36.0,42.0,40.0,38.0,41.0,37.0,36.0,28.0,161.0,157.0,151.0,155.0,130.0,128.0,122.0,119.0,147.0,148.0,148.0,147.0,102.0,100.0,99.0,102.0,41.0,44.0,41.0,40.0,61.0,65.0,70.0,67.0,210.0,205.0,204.0,210.0,421.0,421.0,414.0,411.0,445.0,422.0,403.0,394.0,468.0,466.0,456.0,443.0,484.0,480.0,465.0,467.0,482.0,459.0,430.0,398.0,171.0,172.0,162.0,162.0,201.0,212.0,207.0,219.0,460.0,454.0,445.0,444.0
Size,548.5,203.5,346.5,558.5,482.0,277.0,332.0,461.5,221.0,273.5,299.0,437.5,251.0,311.0,306.5,455.0,379.0,390.0,380.0,524.0,494.0,254.0,315.5,402.0,372.5,319.0,305.0,422.5,407.5,419.5,365.5,414.0,433.5,387.0,249.5,295.5,480.5,454.0,408.5,540.0,387.5,438.5,446.5,548.0,334.5,356.5,372.0,492.5,206.0,237.0,253.0,338.5,403.0,396.0,341.0,464.0,548.5,425.5,195.0,411.5,568.0,253.5,281.0,455.0,575.0,471.0,433.0,521.0
Mean_Gr,0.5535117056856187,2.0,2.4677002583979326,3.110378912685338,0.6768642447418738,2.3701298701298703,3.016348773841962,3.618290258449304,0.8072289156626506,0.6262295081967213,0.3606060606060606,0.32421052631578945,0.8505338078291815,0.008771929824561403,0.0830860534124629,0.0,0.5951807228915663,0.8915094339622641,0.9662650602409638,0.0,0.7109090909090909,2.0,2.46,3.292517006802721,0.6231527093596059,0.7464387464387464,0.9164179104477612,0.12691466083150985,0.9232505643340858,0.8486842105263158,0.06532663316582915,1.1180400890868596,0.8961864406779662,0.27315914489311166,1.0863309352517985,2.541284403669725,0.42452830188679247,0.7670682730923695,0.9137168141592921,0.09931506849315068,0.6838407494145199,0.6757322175732218,0.4515463917525773,0.0676818950930626,0.8360655737704918,0.4755784061696658,0.14250614250614252,0.26037735849056604,0.871244635193133,0.18421052631578946,0.45936395759717313,1.0242587601078168,0.9136363636363637,0.3210161662817552,0.21715817694369974,1.2674650698602794,0.6104553119730185,0.5896328293736501,2.013392857142857,2.7622222222222224,0.4812398042414356,2.2666666666666666,2.4842767295597485,3.091093117408907,0.624,0.8830409356725146,0.8481012658227848,0.20212765957446807
Mean_Rd,4.331103678929765,0.8151260504201681,0.17571059431524547,0.24217462932454695,4.478011472275335,0.0,0.9455040871934605,0.9542743538767395,2.5823293172690764,4.911475409836066,7.393939393939394,8.612631578947369,2.4412811387900355,4.690058479532164,7.525222551928783,8.65922920892495,3.3686746987951808,6.514150943396227,9.720481927710843,12.051418439716311,3.8236363636363637,0.4618055555555556,0.8,0.6961451247165533,4.221674876847291,6.045584045584046,8.725373134328358,9.49890590809628,4.708803611738149,6.9451754385964914,9.266331658291458,7.342984409799555,4.616525423728813,6.534441805225653,5.9784172661870505,0.3516819571865443,2.9471698113207547,5.363453815261044,7.8097345132743365,10.219178082191782,3.323185011709602,5.667364016736402,8.076288659793814,10.197969543147208,3.420765027322404,5.868894601542417,8.343980343980345,10.630188679245283,2.6180257510729614,5.838345864661654,7.413427561837456,10.439353099730459,3.5045454545454544,6.237875288683603,10.203753351206434,10.49500998003992,7.487352445193929,7.237580993520519,3.5089285714285716,0.26,6.225122349102773,0.3157894736842105,0.9874213836477987,0.12955465587044535,6.6,8.360623781676413,9.879746835443038,10.554964539007091
Sum_Gr,331.0,476.0,955.0,1888.0,354.0,730.0,1107.0,1820.0,201.0,191.0,119.0,154.0,239.0,3.0,28.0,0.0,247.0,378.0,401.0,0.0,391.0,576.0,861.0,1452.0,253.0,262.0,307.0,58.0,409.0,387.0,26.0,502.0,423.0,115.0,302.0,831.0,225.0,382.0,413.0,58.0,292.0,323.0,219.0,40.0,306.0,185.0,58.0,138.0,203.0,49.0,130.0,380.0,402.0,139.0,81.0,635.0,362.0,273.0,451.0,1243.0,295.0,646.0,790.0,1527.0,390.0,453.0,402.0,114.0
Sum_Rd,2590.0,194.0,68.0,147.0,2342.0,0.0,347.0,480.0,643.0,1498.0,2440.0,4091.0,686.0,1604.0,2536.0,4269.0,1398.0,2762.0,4034.0,6797.0,2103.0,133.0,280.0,307.0,1714.0,2122.0,2923.0,4341.0,2086.0,3167.0,3688.0,3297.0,2179.0,2751.0,1662.0,115.0,1562.0,2671.0,3530.0,5968.0,1419.0,2709.0,3917.0,6027.0,1252.0,2283.0,3396.0,5634.0,610.0,1553.0,2098.0,3873.0,1542.0,2701.0,3806.0,5258.0,4440.0,3351.0,786.0,117.0,3816.0,90.0,314.0,64.0,4125.0,4289.0,4683.0,5953.0
TP,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0
IMAGE_Path,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-,N-gr-
