,Gini
TP-P0_npp-2,0.025902600070789577
TP-P2_sao-1,0.025840090258325555
TP-P1_his-41,0.02568267478028508
TP-ABa_Y51F10.2,0.025548669343417242
alpha-P2_ogt-1,0.025538671990887895
alpha-ABa_pab-1,0.025536550925925928
alpha-P2_dpy-30,0.025530328846237942
alpha-P2_Y5F2A.4,0.02551226468783189
alpha-AB_F56C9.10,0.02550393687739276
alpha-diff_C35A5.8,0.025484736702567585
TP-P2_F14E5.2,0.025440947063557352
alpha-ABa_gsr-1,0.025422408854761793
TP-ABa_F52B5.2,0.025334824642949644
TP-P0_emb-27,0.02500899543874091
alpha-diff2_snrp-200,0.02500175973647565
alpha-diff2_rpn-9,0.02500108444795945
TP-P2_dars-1,0.02495391841012599
alpha-P2_C36B1.11,0.024664282567072034
TP-P0_nep-1,0.02462394197417259
TP-P2_sgt-1,0.02461213557684146
alpha-P1_kin-4,0.024515584148091348
alpha-ABa_rpn-9,0.024458073180904063
alpha-AB_tpp-2,0.02428754001570744
TP-ABa_Y24F12A.1,0.02428550375958464
alpha-ABa_F56C9.10,0.024191362850112856
alpha-diff2_spe-48,0.024173252151279714
TP-P2_paa-1,0.0241067065626681
alpha-P1_rpb-4,0.023985436706292322
alpha-diff_rif-1.1,0.02396420480391069
TP-AB_cey-3,0.023630591813733247
alpha-P1_npp-18,0.023628177794427795
alpha-diff_cpg-2,0.023609574477809772
TP-P1_rpb-4,0.023525224139566706
TP-ABa_cey-2,0.023447309219919516
TP-P0_snrp-27,0.023411085022527325
alpha-AB_rnr-1,0.02319160616072381
alpha-AB_D2030.7,0.023058837436235623
alpha-P1_math-33,0.023028035383420006
alpha-diff_vha-8,0.02282081986260308
alpha-P1_T07C4.3,0.022796003996003997
alpha-P2_pbrm-1,0.02260150840444958
alpha-AB_F30F8.1,0.022595053187553185
alpha-diff_mig-5,0.022564061110692354
TP-ABa_ztf-25,0.022531514665889665
alpha-P2_F44B9.8,0.022461032780969278
TP-P2_xbp-1,0.022385848263689175
TP-ABa_C49H3.3,0.0223535082154313
TP-AB_rsp-8,0.02234781787248699
alpha-diff_zif-1,0.02231417503792504
alpha-P1_vha-13,0.02218871977695507
TP-ABa_syp-6,0.022186006586006588
alpha-P1_kin-10,0.02208641462703963
TP-P1_R02D3.7,0.022017260277116042
alpha-diff_B0035.3,0.021782835930162135
TP-ABa_npp-3,0.021756824827219565
TP-AB_Y51F10.2,0.021690623375284004
TP-ABa_C27H6.8,0.021639088881543096
TP-P2_tut-2,0.021625098653000444
alpha-AB_mex-5,0.021567538087398225
TP-ABa_ztf-4,0.021537695537163327
TP-AB_mfap-1,0.02141980796980797
alpha-diff_gmpr-1,0.021395581891252888
alpha-ABa_rgs-11,0.021326432910523822
alpha-diff_sun-1,0.021202814941050238
alpha-P2_panl-2,0.02116729018715033
TP-P2_crml-1,0.021159265355856265
alpha-P1_dhc-1,0.02113106413194649
alpha-AB_rpn-9,0.021107592527298415
TP-P0_kin-18,0.02107660191771489
alpha-AB_nep-1,0.02105360077830666
